,PRISM.7122,PRISM.7147,PRISM.7150,PRISM.7153,PRISM.7184,PRISM.7238,PRISM.7406,PRISM.7408,PRISM.7421,PRISM.7445,PRISM.7486,PRISM.7496,PRISM.7506,PRISM.7547,PRISM.7658,PRISM.7662,PRISM.7744,PRISM.7759,PRISM.7762,PRISM.7776,PRISM.7791,PRISM.7843,PRISM.7847,PRISM.7852,PRISM.7855,PRISM.7858,PRISM.7860,PRISM.7861,PRISM.7862,PRISM.7870,PRISM.7874,PRISM.7875,PRISM.7879,PRISM.7897,PRISM.7899,PRISM.7904,PRISM.7906,PRISM.7908,PRISM.7909,PRISM.7910,PRISM.7911,PRISM.7912,PRISM.7938,PRISM.7941,PRISM.7947,PRISM.7948,PRISM.7955,PRISM.7971,PRISM.7989,PRISM.8095,PRISM.8096,PRISM.8101,PRISM.8106,PRISM.8129,PRISM.8226,PRISM.8244,PRISM.8264,PRISM.8275,PRISM.8283,PRISM.8332,PRISM.8336,PRISM.8361,PRISM.8374,PRISM.8377,PRISM.8406,PRISM.8441,PRISM.8444,PRISM.8447,PRISM.8452,PRISM.8458,PRISM.8462,PRISM.8464,PRISM.8466,PRISM.8467,PRISM.8475,PRISM.8480,PRISM.8483,PRISM.8485,PRISM.8496,PRISM.8502,PRISM.8503,PRISM.8511,PRISM.8513,PRISM.8515,PRISM.8523,PRISM.8534,PRISM.8537,PRISM.8550,PRISM.8564,PRISM.8565,PRISM.8573,PRISM.8577,PRISM.8589,PRISM.8591,PRISM.8592,PRISM.8605,PRISM.8624,PRISM.8628,PRISM.8629,PRISM.8667,PRISM.8675,PRISM.8683,PRISM.8692,PRISM.8696,PRISM.8728,PRISM.8734,PRISM.8735,PRISM.8746,PRISM.8749,PRISM.8753,PRISM.8754,PRISM.8758,PRISM.8764,PRISM.8765,PRISM.8774,PRISM.8776,PRISM.8778,PRISM.8783,PRISM.8784,PRISM.8785,PRISM.8788,PRISM.8789,PRISM.8794,PRISM.8795,PRISM.8800,PRISM.8802,PRISM.8803,PRISM.8805,PRISM.8806,PRISM.8807,PRISM.8809,PRISM.8815,PRISM.8841,PRISM.8843,PRISM.8844,PRISM.8846,PRISM.8847,PRISM.8849,PRISM.8878,PRISM.8882,PRISM.8892,PRISM.8894,PRISM.8898,PRISM.8924,PRISM.8932,PRISM.8982,PRISM.8998,PRISM.9010,PRISM.9018,PRISM.9030,PRISM.9033,PRISM.9074,PRISM.9079,PRISM.9126,PRISM.9148
C34:2 DAG,3489.66,5737.71,3995.89,7112.19,2467.16,379.67,6815.38,691.372,9830.9,2161.81,4850.01,6939.29,10470.0,6067.43,4443.57,6681.57,1211.71,6317.63,10567.8,2606.44,5860.19,955.55,16101.2,1783.31,3273.94,7204.78,7124.25,3417.65,11110.4,1654.62,1819.27,4869.52,4362.24,1019.12,8126.23,3673.77,9394.48,7588.74,1327.21,10427.5,5692.48,3938.87,169.989,7337.8,480.407,2754.6,2304.62,10875.1,70.6603,767.335,3320.31,3744.81,2373.13,2844.52,5043.32,1535.74,8043.88,4991.52,610.944,6923.17,651.49,2195.44,989.276,7084.47,8289.93,576.114,1087.78,4296.31,2728.63,3943.91,1549.98,7633.45,3114.59,7095.2,638.458,1892.07,2365.8,690.386,4226.51,6450.93,497.785,5209.04,2436.45,5634.91,5310.83,1697.93,1118.78,1340.44,2439.32,763.057,9605.82,624.477,1706.26,2523.98,7777.68,3455.58,7920.92,1411.63,14605.8,12877.3,9372.86,7438.12,8158.6,7878.9,2960.9,3105.35,15709.0,4600.54,401.009,580.698,7645.24,586.135,6846.02,939.268,5710.3,3515.7,732.588,682.553,424.826,1671.44,4639.79,2751.62,4493.65,1938.0,5171.65,1633.26,6616.21,3526.0,1873.64,3487.11,360.822,820.406,289.564,260.351,1259.72,5694.64,5954.09,227.715,1655.62,7816.03,3879.36,1872.93,4900.89,1200.76,687.646,1050.43,8257.15,1644.56,1808.53,2161.26,3455.83,4805.32,13260.2,206.931,4391.62
C34:0 DAG*,256.626,333.906,367.658,228.042,102.184,96.5683,261.0,222.532,163.369,94.2405,313.966,286.568,201.699,158.745,235.83,223.603,479.364,314.575,1000.78,386.073,274.713,488.576,280.416,349.371,349.794,284.315,164.425,419.265,457.242,146.194,923.495,613.855,210.399,172.372,268.087,215.369,249.773,258.987,156.989,202.009,219.431,402.64,260.516,122.781,111.205,295.124,484.426,150.794,191.016,34.3495,1111.96,228.081,773.601,468.833,1125.55,371.253,70.4763,151.98,271.412,136.767,388.102,355.525,114.879,585.424,3174.51,624.751,113.014,494.344,984.345,244.291,233.403,321.378,112.039,274.641,122.244,1527.19,135.234,76.8814,139.943,851.767,2997.93,609.889,206.646,177.307,1684.44,1224.15,229.723,1163.11,585.023,188.919,318.722,591.425,270.619,228.443,391.001,1258.42,304.667,1797.08,1976.53,584.819,294.716,4206.46,303.391,335.014,152.002,535.029,342.493,227.231,185.066,265.133,253.657,448.6,183.338,124.727,312.36,143.682,157.189,349.249,145.03,227.11,119.648,182.83,165.946,106.104,358.821,219.553,344.519,189.992,307.843,147.235,752.322,577.526,1452.22,77.7188,138.283,485.187,287.595,217.325,459.227,615.495,182.183,250.656,974.325,434.609,616.521,431.167,111.787,299.787,277.096,1030.08,431.17,523.414,172.341,396.364,345.948
C14:0 CE,37.6572,0.0,48.3595,34.0679,50.2198,115.33,0.0,0.0,0.0,129.043,26.7747,0.0,0.0,0.0,0.0,0.0,29.0466,0.0,0.0,22.8278,12.7478,168.409,0.0,116.54,0.0,0.0,0.0,22.8135,0.0,16.9279,28.9824,48.8471,0.0,39.8866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.37,40.2865,80.8347,107.766,0.0,0.0,0.0,15.5961,63.3612,0.0,42.3086,0.0,106.575,0.0,0.0,41.2315,231.892,0.0,93.1389,31.9903,52.0629,82.4017,0.0,0.0,11.9435,0.0,90.8423,0.0,233.388,0.0,0.0,0.0,475.502,98.8118,25.0922,34.5797,20.8051,65.4782,90.7242,45.0207,0.0,13.1138,181.469,0.0,0.0,66.4333,16.1797,0.0,0.0,45.6804,0.0,137.677,135.296,69.8152,0.0,180.731,30.7443,0.0,0.0,12.4502,0.0,25.5799,17.9157,0.0,0.0,112.072,187.06,29.0234,0.0,156.636,0.0,0.0,0.0,12.5906,7.94558,75.9058,33.1736,31.3699,0.0,0.0,0.0,0.0,30.404,0.0,14.8053,0.0,0.0,80.7765,0.0,0.0,0.0,225.924,0.0,0.0,0.0,0.0,121.095,0.0,22.397,0.0,65.2978,19.9766,79.546,0.0,0.0,0.0,45.3357,76.7224,0.0,69.7775,0.0,63.2429,0.0
C36:4 DAG*,668.102,2672.16,1485.99,5730.85,316.388,216.652,2502.5,36.9571,7022.38,2802.29,2988.25,3183.11,10524.7,2940.56,1603.43,7352.23,241.81,1362.49,49253.3,625.377,2650.14,383.286,9842.09,524.637,4774.9,6898.34,3797.26,665.448,12550.7,695.302,1077.82,1642.08,3101.63,301.485,10977.8,1072.69,20051.5,6361.04,360.792,6561.24,3125.11,932.734,81.1515,17650.3,178.794,791.385,390.62,11042.8,0.0,277.344,520.811,2392.54,340.301,396.246,2379.52,191.539,18965.3,15292.1,292.332,4698.37,104.934,376.189,182.971,9433.15,4616.41,577.9,353.109,8654.83,354.246,1168.94,445.45,4065.02,5532.47,3193.36,369.504,82.746,3718.91,672.281,1682.61,949.691,156.923,948.072,5397.36,3005.24,290.028,52.9971,703.224,134.661,799.299,176.286,6511.55,116.786,505.04,1374.07,3229.97,219.113,12063.6,446.284,9555.01,3238.73,7112.37,6918.6,9379.82,2755.82,891.126,485.814,44245.3,1348.4,232.137,178.621,1730.23,80.6296,3649.46,623.37,5092.18,2402.79,352.011,400.908,102.527,1150.42,1172.19,646.408,1624.46,1173.84,1666.28,995.489,2833.58,3320.46,921.468,2437.02,0.0,63.5458,36.7237,61.8395,1877.64,3496.4,1393.13,0.0,328.372,1329.26,1175.23,586.16,1785.75,481.603,98.3968,152.192,7040.3,441.77,641.553,196.554,705.721,674.733,9017.22,107.721,1171.61
C36:3 DAG*,856.233,11352.7,1375.93,6468.81,1123.47,228.656,9191.09,92.2007,9989.85,6249.8,7262.28,8414.38,69165.0,11628.6,1812.11,2434.29,873.719,1678.99,36516.6,707.692,6906.67,1430.1,4542.28,401.747,1673.95,9848.13,10903.8,755.981,16563.1,730.56,582.547,8515.34,1340.31,920.915,10043.7,1092.99,38292.0,13743.8,245.348,26396.2,3031.18,946.502,59.0242,56335.2,252.829,1194.49,323.668,49918.6,0.0,738.215,644.969,1975.52,455.165,1157.53,3728.06,347.705,94318.8,41082.8,1344.0,3118.58,206.689,480.448,234.593,19590.2,7173.76,199.563,326.94,3710.57,364.765,857.964,484.111,2546.05,5190.53,3542.35,2110.07,406.858,2504.28,448.183,1117.52,1550.23,361.592,2592.61,2094.61,7093.26,884.195,116.329,685.969,153.904,1318.37,315.609,12788.0,271.714,907.171,980.029,9301.47,708.838,3799.31,388.098,7428.08,4072.0,9405.65,23794.1,18073.0,3000.39,1512.49,773.195,116925.0,1472.54,693.442,284.823,4414.76,86.9299,12388.8,409.41,2423.96,5311.5,1178.39,219.351,134.338,1056.46,3621.31,1572.66,2942.08,1385.24,1316.53,527.547,11469.4,7216.17,956.666,2279.63,0.0,77.9973,95.9171,85.8887,3970.33,3163.74,1922.59,0.0,736.518,3058.66,2711.26,371.954,1959.73,223.288,137.545,645.366,36882.9,303.13,482.388,138.286,4624.78,1346.46,18077.8,85.5055,1305.27
C36:2 DAG*,538.721,16593.8,815.061,3018.21,1024.8,153.552,42318.1,112.268,9824.73,2190.72,13137.4,13440.2,102656.0,16624.5,782.137,2288.25,549.016,1380.39,17191.5,558.699,8567.13,861.237,3426.53,239.034,1444.13,7917.13,20300.8,772.911,11378.9,1349.88,401.226,15009.1,1376.47,16455.3,6389.12,834.947,28945.6,17014.1,242.377,32664.5,5898.01,529.624,52.1154,41806.7,92.8547,1257.6,212.034,52566.9,46.9381,314.43,511.91,6633.91,502.523,2789.36,1553.62,635.699,89631.7,20987.4,136.0,1177.58,162.35,540.881,438.529,8059.88,11741.3,135.173,459.03,4287.2,300.271,264.364,238.214,579.451,7972.83,965.003,421.736,898.6,577.511,220.098,872.766,1630.48,192.788,2649.17,1678.37,34070.1,1323.37,174.42,1003.05,327.79,5538.15,184.805,16800.0,430.064,1022.49,503.525,12094.9,911.939,1065.58,444.033,4151.64,2355.17,5694.73,26163.9,23532.7,2443.46,4507.45,812.186,71973.5,655.261,1109.27,158.053,3903.33,68.3287,15340.4,246.27,1171.57,5406.18,1821.4,67.3412,92.2212,557.499,3515.18,2327.59,3238.63,912.044,609.97,579.494,24947.3,7806.95,452.126,743.307,0.0,83.5966,109.449,54.4204,5971.53,1076.57,3115.68,0.0,634.641,1894.23,1786.31,217.809,1154.13,234.217,130.224,266.117,40504.1,197.874,273.363,207.399,11168.4,1189.79,23887.9,77.4187,1263.5
C36:4 DAG,3171.35,6350.38,6048.68,12272.2,1314.13,208.003,8185.85,432.022,13504.9,6591.9,8069.65,11100.2,13017.4,7481.49,7776.86,9199.38,877.776,6927.59,14744.8,3342.32,8193.67,1047.17,21710.8,2673.2,12248.3,12383.9,9341.58,5249.08,15669.0,3122.16,4407.59,7265.63,8265.52,1526.66,12645.6,4327.53,12451.7,12381.8,1309.9,12304.4,10601.1,3820.16,79.5111,16936.3,821.158,2852.13,2244.06,14520.2,49.4783,873.565,2757.41,7766.08,1588.32,1670.76,10264.4,1178.72,18259.4,16390.7,1302.72,10406.6,591.753,1863.28,769.665,16247.0,12277.9,1988.92,863.668,10233.9,2033.13,5159.17,1816.78,14213.9,6851.87,12450.9,956.653,252.741,10584.8,2057.55,6516.26,3818.27,518.7,4611.59,11648.4,9291.31,1263.2,295.188,4478.89,330.395,3475.28,1126.85,12991.1,432.717,2455.57,4090.85,10317.0,1289.96,21210.1,2411.43,23687.1,16726.9,10354.5,7235.83,9424.84,10418.6,3438.49,2474.22,24134.9,7281.62,950.872,876.377,6025.61,518.628,8953.52,2090.46,12256.8,4129.09,725.015,2227.34,698.737,4109.52,4414.95,2685.26,6974.39,4060.72,7008.41,1990.54,6346.38,8439.4,3887.23,9546.02,307.506,362.475,213.17,307.664,7071.18,14199.1,5940.81,105.21,1444.26,7656.35,5940.85,2367.86,7219.94,2187.4,535.802,915.756,18733.5,2316.6,4056.91,1032.09,2981.78,4655.58,21215.5,314.715,7064.05
C16:1 CE,109.354,0.0,67.2366,45.4845,29.8486,401.05,0.0,73.0486,0.0,70.82,144.917,0.0,0.0,0.0,0.0,0.0,24.334,0.0,0.0,25.5629,32.7434,107.932,0.0,75.4325,0.0,14.8962,0.0,20.153,0.0,37.075,19.4982,149.871,0.0,31.5687,0.0,0.0,0.0,0.0,80.0998,0.0,28.6605,33.6232,140.052,93.1825,48.4985,92.2455,0.0,0.0,0.0,39.5409,128.958,20.5932,123.794,31.5596,82.0993,25.4265,17.4245,84.6679,65.6731,30.4124,99.16,43.6199,77.9338,290.025,0.0,16.0001,23.6272,0.0,189.116,30.9218,464.986,0.0,31.0088,31.2929,176.264,493.437,39.1062,65.1139,57.273,251.939,26.7763,94.0459,0.0,24.1545,734.538,0.0,0.0,152.279,0.0,0.0,0.0,57.8209,25.5995,112.658,159.499,125.111,0.0,54.8845,49.1844,0.0,0.0,0.0,10.2704,0.0,0.0,50.6607,0.0,119.852,59.8478,38.0242,20.3385,222.516,0.0,12.9143,13.5161,9.797,21.1295,30.2496,55.6884,43.1996,0.0,15.9087,0.0,24.2145,53.3074,18.4112,0.0,42.3111,45.1258,52.4416,0.0,0.0,0.0,568.641,0.0,23.7555,35.1916,0.0,141.862,119.999,20.2761,0.0,257.278,15.3018,206.159,66.5676,27.1444,67.9663,0.0,45.161,0.0,60.1141,0.0,34.8738,0.0
C36:3 DAG,4072.04,11385.2,5893.52,12469.2,4589.83,575.205,15912.8,561.773,15840.1,8800.83,12429.6,18928.1,22299.2,13720.2,8218.85,5011.28,1163.75,7910.08,11865.5,3558.11,14092.2,1722.73,13984.1,1933.63,6201.36,15604.7,13913.5,3759.18,18085.0,3152.56,2542.22,19179.4,5920.26,4363.79,12186.8,5007.51,13960.8,15816.5,1112.1,18343.4,9918.57,3631.2,247.642,22201.7,1074.34,4417.65,1668.86,22738.3,80.4337,2308.98,3409.94,7065.73,1953.34,4194.88,14337.4,2255.27,24283.7,20958.9,859.753,8560.88,1258.23,2205.14,1100.01,20286.5,13614.6,870.941,1301.69,6204.48,2254.59,3979.06,2241.66,10859.8,7823.99,11575.2,1888.86,1741.89,8837.48,1938.76,5071.88,6002.75,567.615,9014.76,7871.85,13319.2,4187.64,715.113,3969.77,840.686,5124.54,1915.41,15687.6,1084.38,4313.76,3669.58,16751.4,3548.41,11783.1,1770.0,19059.5,20337.7,11426.9,9554.96,8954.24,10421.6,5830.57,3754.77,26808.9,8066.25,2839.86,1384.21,12183.1,531.866,14378.1,1667.13,8162.17,3093.52,2969.08,1161.8,645.847,4204.79,9877.67,5783.19,11414.4,5519.49,6100.15,2718.23,15402.2,19174.0,4514.15,9697.86,397.563,454.618,650.522,440.696,10430.9,12298.0,7708.87,72.2986,3303.83,14385.7,11134.5,1880.91,7663.51,1130.79,835.777,1426.69,33098.9,1674.12,2711.77,851.129,7429.84,8523.36,27439.7,495.345,6991.45
C16:0 CE,716.113,364.369,862.858,295.8335,704.22,1194.317,63.2953,475.2687,106.0895,1282.637,555.9817,174.1945,66.9398,128.2552,211.2631,66.7207,117.8891,238.9307,11.6517,376.3188,303.8913,867.971,35.9047,409.0062,83.2557,92.5323,31.5648,327.2723,104.2332,251.2869,268.8348,1089.096,47.1079,437.0672,123.7149,215.579,64.3486,67.7472,127.9226,49.6372,199.7853,112.9404,1588.206,677.437,305.5144,503.8856,111.439,17.6794,142.677,403.8917,1253.064,101.5669,430.9413,172.6467,694.294,378.2754,88.7918,524.6356,1559.061,388.0641,633.4292,404.6961,456.2067,1192.213,106.946,65.1148,150.1951,94.1061,1033.684,270.6795,1280.57,358.1786,239.9844,197.377,2509.536,2055.176,415.1383,482.7723,517.11,998.182,762.955,497.252,133.741,299.361,2713.256,130.77,181.221,1572.937,173.8178,636.5373,74.96,591.669,154.5817,841.555,1094.36,1982.765,150.7684,172.8431,426.125,260.231,122.4863,88.7056,138.6701,246.3485,244.635,597.525,37.5609,1219.407,864.139,266.1407,117.9212,1299.24,82.4247,80.6399,187.5746,109.5155,142.8674,487.0018,440.2167,240.5582,69.6285,142.5128,110.9857,113.4266,646.6175,118.0037,195.7815,260.1413,231.1058,885.776,271.758,155.152,99.1535,2052.879,74.3969,289.9525,407.9499,246.768,1124.427,875.742,383.719,103.261,1080.973,82.7745,1251.921,239.0888,153.3429,385.5337,344.2359,699.0553,110.6102,955.543,107.5141,662.017,0.0
C36:2 DAG,2791.65,12743.1,3395.19,7814.52,4494.64,742.103,20864.7,635.93,13577.2,5923.38,13568.5,19768.2,17243.6,12228.3,4017.02,4616.28,1619.62,6592.28,9217.67,2738.36,13150.8,2523.95,11448.2,1195.51,5354.52,10521.9,14214.5,3117.86,15195.1,4862.0,1522.12,20262.9,5292.41,24546.8,9065.84,3952.35,10319.0,14259.5,829.478,16323.1,12524.1,2372.66,338.834,16975.7,526.615,4415.44,1132.76,17533.0,94.0867,1417.58,2623.78,11985.6,2041.03,7195.81,7194.4,3565.0,18985.7,14586.1,595.333,3707.5,920.793,2421.17,1946.0,12573.4,15428.7,601.909,1414.47,6834.44,1681.96,1756.18,1067.92,3176.18,6833.05,4139.28,1236.39,3456.14,2792.33,330.865,4031.41,5757.43,615.595,8358.52,6630.13,19148.5,5291.54,1022.08,5337.71,1146.42,9443.69,1053.44,14507.1,1271.19,4714.63,1636.59,16917.3,4213.11,4744.87,1507.03,12930.2,11999.3,8263.17,8714.58,9962.75,8632.26,9253.76,3948.46,20064.3,3701.1,343.604,755.846,9790.47,404.907,12786.7,1048.98,4606.14,7618.73,3717.26,405.414,456.78,2332.75,8637.38,7302.09,11449.0,3783.72,2938.74,2767.09,16829.1,16709.8,1806.84,3599.45,317.173,489.382,692.455,118.661,3818.15,5614.76,10431.7,85.5017,2320.3,9084.91,7674.9,1020.13,4453.96,1066.62,801.747,1480.03,25948.5,1188.3,1332.69,1142.46,10549.8,6676.56,24778.5,427.774,7021.82
C16:1 CE*,179.138,0.0,108.863,45.7305,89.2438,828.787,25.5707,159.81,0.0,212.364,259.805,28.2438,0.0,0.0,27.1967,0.0,63.5728,73.1722,0.0,79.6787,53.1863,289.727,20.2806,160.581,0.0,0.0,0.0,84.4234,0.0,83.9537,22.1165,217.002,0.0,109.601,0.0,36.4522,0.0,0.0,94.7818,0.0,46.0629,83.4822,443.119,96.3726,92.1463,205.311,69.2243,0.0,0.0,153.901,355.49,45.8473,219.235,98.6088,351.853,73.7399,24.5602,177.326,87.0492,48.8652,339.415,155.178,205.294,323.783,0.0,19.6462,44.5545,0.0,560.442,68.2477,1006.61,61.9748,28.9197,55.9096,417.072,1002.87,70.4371,128.48,106.443,328.701,62.1523,172.656,0.0,39.9128,1500.61,70.1701,79.0761,422.825,21.3748,113.054,0.0,132.809,52.262,126.785,266.273,421.649,0.0,59.3486,86.5073,54.741,0.0,0.0,0.0,27.6689,27.3048,171.657,0.0,276.119,97.8209,143.846,17.5563,717.32,0.0,27.016,16.6249,8.76507,29.371,112.414,129.21,112.085,0.0,29.5773,19.2504,30.2266,121.747,34.7126,0.0,95.9648,122.849,130.224,149.671,102.904,0.0,1047.1,0.0,58.059,56.825,52.8031,363.376,209.396,50.8844,45.7387,328.04,19.4387,750.04,64.019,33.8466,110.266,127.294,186.811,0.0,115.99,0.0,104.687,0.0
C36:0 DAG,597.692,191.814,1984.7,192.886,206.98,53.6971,222.108,305.859,129.45,128.69,192.126,402.25,169.885,168.298,304.469,605.727,451.602,440.713,454.393,274.233,300.259,179.618,303.228,185.291,426.66,193.726,143.049,528.527,1128.85,185.274,4601.94,273.7,207.319,239.35,316.433,286.668,127.666,562.092,291.562,240.038,187.669,284.115,734.792,166.277,167.635,140.08,898.212,101.576,452.001,89.5213,483.1,418.513,355.299,269.515,621.564,416.35,101.298,124.827,234.267,92.7147,369.668,535.148,161.063,332.26,8705.3,2696.55,128.03,120.756,750.606,298.411,754.39,431.932,94.5166,321.498,168.719,418.352,252.982,145.565,214.798,225.282,1694.03,352.684,257.838,146.691,475.298,1566.44,376.021,1277.8,302.599,425.523,195.476,288.891,405.569,204.108,272.438,508.34,349.879,860.403,1924.21,756.747,1572.92,1876.86,170.937,375.084,391.733,797.031,186.769,532.671,37.4393,1802.56,278.23,721.536,185.626,154.461,196.913,112.541,116.24,399.786,227.332,164.939,135.189,202.837,284.98,175.33,446.874,307.775,240.582,329.322,261.177,256.063,2278.61,1147.29,3150.16,112.729,101.299,312.063,289.111,574.994,306.408,457.616,274.231,359.447,589.731,385.454,810.196,334.98,213.913,443.7,502.225,467.378,195.082,825.297,252.513,535.968,595.461
C18:3 CE,111.577,55.204,77.7248,66.9741,99.9924,272.0,24.1069,25.0695,47.6184,373.238,106.755,22.3762,11.1669,62.241,90.7237,28.9666,17.2469,50.3341,24.2132,43.7013,55.273,246.854,13.9588,211.396,193.07,88.3122,16.5978,44.4952,44.0727,61.1795,86.8166,280.994,27.8761,83.5154,43.0322,34.3163,26.2618,33.8104,23.993,24.5955,35.5537,64.271,231.49,237.435,17.4224,92.0535,96.9294,15.3772,0.0,38.0206,140.011,0.0,70.7449,30.1257,172.031,82.575,17.4052,98.2699,589.389,98.0697,163.848,40.2376,59.6286,288.269,43.5995,15.2941,30.6522,45.0481,257.686,29.5787,352.104,59.6006,95.9485,89.8312,827.767,427.26,46.5312,47.9372,188.577,245.674,28.4782,97.2259,99.4886,55.0267,726.321,0.0,0.0,263.351,31.6174,29.8214,24.2582,71.943,41.6475,210.841,144.515,295.136,45.0225,32.7006,66.4206,0.0,60.9383,40.1259,29.2649,0.0,27.5496,81.0114,26.0378,662.3,127.983,65.6165,23.323,256.587,12.5947,11.8055,55.0106,8.60167,40.6644,66.3918,75.5286,70.137,16.423,28.1842,63.3168,45.916,46.3817,0.0,33.1524,49.9659,135.192,146.917,83.7647,0.0,0.0,608.366,21.5611,90.2189,53.0098,91.8742,134.659,80.4677,44.9032,48.7594,246.557,19.7929,306.377,21.4464,25.0973,112.041,56.7604,86.4015,16.9614,0.0,42.1187,0.0,0.0
C38:5 DAG*,58.4287,0.0,102.091,65.4757,26.9547,14.4355,21.4781,23.1919,31.1168,137.256,399.004,19.1923,39.7986,18.7926,0.0,13.1276,8.81476,0.0,29.0005,38.7342,11.3175,42.3235,14.8092,0.0,28.0273,18.6011,27.3973,24.5799,1874.58,29.3793,96.6732,993.842,14.3052,73.3502,16.8984,0.0,53.8759,22.1981,0.0,32.5387,18.4064,40.4206,0.0,381.599,26.1436,30.5169,0.0,38.0853,0.0,68.2773,1086.44,45.0848,477.216,601.154,225.743,0.0,149.222,580.891,26.0274,19.7052,114.22,35.9932,0.0,108.391,71.6087,81.7404,16.3928,10.8295,728.036,96.3617,166.787,167.02,11.726,38.8169,34.4951,199.508,161.013,14.45,17.2355,727.063,43.5654,67.1258,3065.84,15.604,1144.8,0.0,36.6401,380.532,28.802,163.59,22.4744,12.9583,26.1208,12.2236,46.4874,1841.41,0.0,26.3209,23.505,84.9705,37.3537,177.644,0.0,80.1898,40.0177,45.0677,49.6717,46.4599,21.3629,36.0273,21.3832,53.9935,21.2707,93.9249,13.9255,0.0,127.085,25.7182,15.9012,60.4394,11.0658,15.5929,119.51,56.1833,30.1258,0.0,15.289,439.301,448.844,124.815,0.0,0.0,0.0,43.3826,13.2692,69.0105,31.8118,0.0,297.613,439.181,69.5141,0.0,1077.6,45.4503,0.0,24.718,76.9519,48.748,103.859,29.3621,11.7488,96.3069,44.1713,54.3403,61.8281
C18:2 CE,2190.3,1357.78,2780.74,678.147,851.599,3967.62,357.858,350.082,426.129,3781.0,2670.41,282.672,142.009,531.901,320.809,116.902,163.069,754.167,127.265,844.049,1849.95,2061.86,250.037,2337.35,0.0,277.544,161.175,433.055,272.815,798.374,526.413,7232.35,71.5339,552.542,459.902,215.662,356.052,597.158,177.445,245.592,367.944,304.952,3072.86,3198.32,380.166,1645.8,154.113,137.866,217.145,513.591,6546.53,248.054,1933.82,518.088,3587.76,540.191,511.709,1863.33,2697.43,944.294,1887.34,682.496,1177.64,5479.72,285.126,46.833,630.074,0.0,6021.58,462.545,3848.58,1451.35,779.384,560.521,3747.57,10514.9,1494.98,930.363,2529.37,6502.23,458.565,2484.31,305.676,534.845,16715.7,277.597,328.022,7526.73,313.108,830.257,314.829,1157.59,551.609,1876.51,2336.61,13903.8,487.769,549.964,518.024,307.368,634.91,294.81,294.043,205.989,308.002,2089.92,312.065,5296.47,1196.67,919.058,231.651,6607.32,127.268,45.0306,250.604,329.911,289.522,765.765,1011.36,573.389,216.049,261.769,360.984,234.454,1113.23,178.68,353.739,982.56,606.127,2003.51,1027.88,303.241,181.323,9475.18,250.216,676.961,660.238,410.44,5718.8,5474.52,826.659,187.644,6787.45,120.729,5061.49,231.659,1380.1,849.457,2209.06,482.719,187.417,783.894,392.807,261.987,148.69
C18:1 CE,2965.41,796.624,280.287,1187.923,3209.23,6518.45,209.5263,2538.444,308.031,5384.65,2108.694,503.6,123.5673,392.429,745.938,147.4071,0.0,1463.656,135.3063,1823.507,882.61,3768.17,288.901,3842.68,113.0056,626.063,93.0849,932.852,214.5262,891.16,1196.817,2430.26,113.9126,1371.989,208.43,275.8502,64.9261,734.016,73.937,86.5737,1101.7,668.077,8133.06,1926.412,1346.681,2701.342,311.282,69.3487,478.284,3018.28,4276.56,93.5858,1705.531,1008.684,4654.7,1793.786,412.761,2113.271,920.473,2021.544,3969.5,1523.704,2583.731,3258.69,535.911,14.1141,297.029,40.2166,4419.54,912.264,5321.66,1043.945,982.037,1231.841,7563.76,5319.67,2246.441,2304.365,2806.3,2871.12,163.0678,1693.28,469.938,872.026,8647.8,891.064,1342.808,4956.02,344.827,1061.554,227.569,814.943,505.509,2760.734,2917.54,6006.7,521.124,99.7725,1509.733,972.747,303.068,196.253,126.1292,748.753,515.877,1305.327,220.4754,5003.1,1789.938,1692.448,114.6784,4495.64,46.1344,69.7374,491.573,336.758,32.2833,1805.326,2220.521,752.096,175.4547,141.9013,837.445,384.563,2218.821,524.633,316.64,1246.26,1672.426,3554.04,1510.303,924.992,600.509,5431.31,334.003,1009.788,1132.096,2069.941,4099.53,2780.89,1272.038,285.1866,3471.54,176.1629,3777.35,74.8293,597.322,1641.072,1308.963,3331.47,103.7813,2202.087,545.289,2252.123,594.119
