Compound,HMDB,KEGG,High.Confidence.Annotation,Compound.Name
"Disulfide, methyl 2-propenyl",HMDB0041389,C08383,True,"Disulfide, methyl 2-propenyl"
"Dichloroacetic acid, 4-hexadecyl ester",,,True,"Dichloroacetic acid, 4-hexadecyl ester"
"Octane, 6-ethyl-2-methyl-",,,True,"Octane, 6-ethyl-2-methyl-"
"2-Heptenal, (Z)-",,,True,"2-Heptenal, (Z)-"
Phenylacetaldehyde,HMDB0006236,C00601,True,Phenylacetaldehyde
3-Phenylpropanol,HMDB0033962,,True,3-Phenylpropanol
E-2-Hexadecacen-1-ol,,,True,E-2-Hexadecacen-1-ol
2-Dodecanone,HMDB0031019,C14996,True,2-Dodecanone
1036_unknown,,,True,1036_unknown
319_unknown,,,True,319_unknown
"Cyclohexene, 3-(1,5-dimethyl-4-hexenyl)-6-methylene-, [S-(R*,S*)]-",HMDB0036163,C16776,True,"Cyclohexene, 3-(1,5-dimethyl-4-hexenyl)-6-methylene-, [S-(R*,S*)]-"
trans-Raphasatin,,,True,trans-Raphasatin
Hordenine,HMDB0004366,C06199,True,Hordenine
"Propanoic acid, butyl ester",HMDB0030052,,True,"Propanoic acid, butyl ester"
trans-2-Dodecen-1-ol,HMDB0303903,,True,trans-2-Dodecen-1-ol
Isopropyl Alcohol,HMDB0000863,C01845,True,Isopropyl Alcohol
Eucalyptol,HMDB0004472,C09844,True,Eucalyptol
1152_unknown,,,True,1152_unknown
Copaene,HMDB0061851,C09639,True,Copaene
"3,4-Dihydroxyphenylglycol",HMDB0000318,C05576,True,"3,4-Dihydroxyphenylglycol"
2-Methylpropyl butanoate,HMDB0034161,,True,2-Methylpropyl butanoate
679_unknown,,,True,679_unknown
Carbamic acid,HMDB0003551,C01563,True,Carbamic acid
(+)-2-Bornanone,HMDB0059838,,True,(+)-2-Bornanone
2-Heptanone,HMDB0003671,C08380,True,2-Heptanone
"Cyclohexene, 1-methyl-4-(1-methylethylidene)-",HMDB0036994,C06075,True,"Cyclohexene, 1-methyl-4-(1-methylethylidene)-"
Cyclohexanemethanol,,,True,Cyclohexanemethanol
"Propanoic acid, 2-methyl-, anhydride",HMDB0062788,,True,"Propanoic acid, 2-methyl-, anhydride"
"2-Propanol, 1-methoxy-",HMDB0243915,,True,"2-Propanol, 1-methoxy-"
13-Methyltetradecanal,,,True,13-Methyltetradecanal
"Ethanol, 2-ethoxy-",HMDB0031213,C14687,True,"Ethanol, 2-ethoxy-"
3-Pyridinecarbonitrile,,,True,3-Pyridinecarbonitrile
"Pivalic acid, 2-methylpropyl ester",,,True,"Pivalic acid, 2-methylpropyl ester"
"1-Butene, 4-isothiocyanato-",HMDB0033867,,True,"1-Butene, 4-isothiocyanato-"
"1-Pentene, 4,4-dimethyl-1,3-diphenyl-1-(trimethylsilyloxy)-",,,True,"1-Pentene, 4,4-dimethyl-1,3-diphenyl-1-(trimethylsilyloxy)-"
"2,5-Dihydroxybenzaldehyde, 2TMS derivative",,,True,"2,5-Dihydroxybenzaldehyde, 2TMS derivative"
"Ethane, 1-ethoxy-1-methoxy-",,,True,"Ethane, 1-ethoxy-1-methoxy-"
"2-Butanone, 3-methyl-",,,True,"2-Butanone, 3-methyl-"
Methyl isobutyrate,HMDB0031249,,True,Methyl isobutyrate
385_unknown,,,True,385_unknown
"2-Pentenoic acid, 4-hydroxy-",,,True,"2-Pentenoic acid, 4-hydroxy-"
"Cyclohexasiloxane, dodecamethyl-",,,True,"Cyclohexasiloxane, dodecamethyl-"
"Cyclohexanol, 4-ethenyl-4-methyl-3-(1-methylethenyl)-",,,True,"Cyclohexanol, 4-ethenyl-4-methyl-3-(1-methylethenyl)-"
"Benzene, 1-(chloromethyl)-3-methoxy-",,,True,"Benzene, 1-(chloromethyl)-3-methoxy-"
"Butanoic acid, 3-methyl-, propyl ester",HMDB0032047,,True,"Butanoic acid, 3-methyl-, propyl ester"
"Benzene, (2-isothiocyanatoethyl)-",HMDB0038445,,True,"Benzene, (2-isothiocyanatoethyl)-"
1-Hexadecyne,,,True,1-Hexadecyne
218_unknown,,,True,218_unknown
4-Acetoxy-3-methoxystyrene,,,True,4-Acetoxy-3-methoxystyrene
68_unknown,,,True,68_unknown
"R(-)3,7-Dimethyl-1,6-octadiene",,,True,"R(-)3,7-Dimethyl-1,6-octadiene"
"5-hydroxy-7-methoxyflavanone, tert.-butyldimethylsilyl ether",,,True,"5-hydroxy-7-methoxyflavanone, tert.-butyldimethylsilyl ether"
"Carbonic acid, prop-1-en-2-yl tetradecyl ester",,,True,"Carbonic acid, prop-1-en-2-yl tetradecyl ester"
"9-Tetradecenal, (Z)-",,,True,"9-Tetradecenal, (Z)-"
"Ethanol, 1-(2-butoxyethoxy)-",,,True,"Ethanol, 1-(2-butoxyethoxy)-"
"Benzaldehyde, 4-hydroxy-",HMDB0011718,C00633,True,"Benzaldehyde, 4-hydroxy-"
"Cyclopropane, 1-methyl-1-(1-methylethyl)-2-nonyl-",,,True,"Cyclopropane, 1-methyl-1-(1-methylethyl)-2-nonyl-"
Bis[bicyclo[3.2.0]hept-2-en-4-yl]ether,,,True,Bis[bicyclo[3.2.0]hept-2-en-4-yl]ether
"3-Hexanol, 2-methyl-",,,True,"3-Hexanol, 2-methyl-"
Ethyl methyl disulfide,HMDB0032912,,True,Ethyl methyl disulfide
Mesitylene,HMDB0041924,C14508,True,Mesitylene
5H-Tetrazol-5-amine,,,True,5H-Tetrazol-5-amine
677_unknown,,,True,677_unknown
 Propyl 2-methylpropanoate,HMDB0036209,,True, Propyl 2-methylpropanoate
"3-Pentanone, 2-methyl-",HMDB0005846,,True,"3-Pentanone, 2-methyl-"
"Cycloheptasiloxane, tetradecamethyl-",,,True,"Cycloheptasiloxane, tetradecamethyl-"
"Isophthalic acid, butyl tridec-2-ynyl ester",,,True,"Isophthalic acid, butyl tridec-2-ynyl ester"
"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",,,True,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative"
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",HMDB0059777,,True,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate"
626_unknown,,,True,626_unknown
367_unknown,,,True,367_unknown
1-Tetradecene,HMDB0061834,,True,1-Tetradecene
Heptanal,HMDB0031475,C14390,True,Heptanal
2-Hexanol,HMDB0061886,,True,2-Hexanol
"1,4-Methano-1H-Cyclopropa[d]pyridazine, 4,4a,5,5a-tetrahydro-6,6-dimethyl-",,,True,"1,4-Methano-1H-Cyclopropa[d]pyridazine, 4,4a,5,5a-tetrahydro-6,6-dimethyl-"
"Hexanoic acid, butyl ester",HMDB0040211,,True,"Hexanoic acid, butyl ester"
Z-8-Hexadecene,,,True,Z-8-Hexadecene
Vinyl crotonate,,,True,Vinyl crotonate
2-Methyl-4-heptanone,HMDB0013821,,True,2-Methyl-4-heptanone
"Benzaldehyde, 3-bromo-5-methoxy-4-[(4-methylphenyl)methoxy]-",,,True,"Benzaldehyde, 3-bromo-5-methoxy-4-[(4-methylphenyl)methoxy]-"
"Cyclohexane, 1,1'-methylenebis-",,,True,"Cyclohexane, 1,1'-methylenebis-"
